entreprise,secteur,taille,ville_siege,site_web,type_entreprise
InsurTech Solutions,Assurance / InsurTech,PME,Casablanca,https://www.insurtech-solutions.ma,Startup
DataMaroc Solutions,Data / Analytics,ETI,Rabat,https://www.datamaroc-solutions.ma,ESN
IBM Maroc,Services IT,Grande entreprise,Casablanca,https://www.ibm.com/ma,Entreprise technologique
DigitalHub Maroc,Transformation digitale,PME,Casablanca,https://www.digitalhub-maroc.ma,Agence digitale
Attijariwafa Bank,Banque / Finance,Grande entreprise,Casablanca,https://www.attijariwafabank.com,Entreprise utilisatrice
MediaTech Maroc,Media / Digital,PME,Rabat,https://www.mediatech-maroc.ma,Editeur logiciel
TechVision,Services IT,PME,Tanger,https://www.techvision.ma,ESN
Orange Business Services Maroc,Telecom / IT,Grande entreprise,Casablanca,https://www.orange-business.com,ESN
PropTech Solutions,Immobilier / PropTech,Startup,Casablanca,https://www.proptech-solutions.ma,Startup
RetailTech,Retail / E-commerce,PME,Casablanca,https://www.retailtech.ma,Editeur logiciel
CyberSec Maroc,Cybersecurite,PME,Rabat,https://www.cybersec-maroc.ma,Cabinet conseil
OCP Group,Industrie / Energie,Grande entreprise,Casablanca,https://www.ocpgroup.ma,Entreprise utilisatrice
Keyrus Maroc,Data / Conseil,ETI,Casablanca,https://www.keyrus.com,ESN
DataFlow Systems,Data Engineering,PME,Rabat,https://www.dataflow-systems.ma,Editeur logiciel
Inwi,Telecom,Grande entreprise,Casablanca,https://www.inwi.ma,Entreprise utilisatrice
Sofrecom Maroc,Telecom / Conseil,Grande entreprise,Rabat,https://www.sofrecom.com,ESN
Capgemini Maroc,Services IT,Grande entreprise,Casablanca,https://www.capgemini.com,ESN
LogiTech Maroc,Logistique / IT,PME,Tanger,https://www.logitech-maroc.ma,Editeur logiciel
BMCE Bank,Banque / Finance,Grande entreprise,Casablanca,https://www.bankofafrica.ma,Entreprise utilisatrice
CIH Bank,Banque / Finance,Grande entreprise,Casablanca,https://www.cihbank.ma,Entreprise utilisatrice
Wafasalaf,Finance / Credit,Grande entreprise,Casablanca,https://www.wafasalaf.ma,Entreprise utilisatrice
HPS Software,FinTech / Paiement,Grande entreprise,Casablanca,https://www.hps-worldwide.com,Editeur logiciel
Sopra HR Software,Logiciel RH,Grande entreprise,Casablanca,https://www.soprahr.com,Editeur logiciel
FinTech Maroc,FinTech,Startup,Casablanca,https://www.fintech-maroc.ma,Startup
Startup Digital,Digital,Startup,Rabat,https://www.startup-digital.ma,Startup
CGI Maroc,Services IT,Grande entreprise,Casablanca,https://www.cgi.com,ESN
Alten Maroc,Ingenierie / IT,Grande entreprise,Rabat,https://www.alten.ma,ESN
CloudSys Maroc,Cloud,PME,Casablanca,https://www.cloudsys-maroc.ma,ESN
InnovateTech,Innovation / IT,Startup,Tanger,https://www.innovatetech.ma,Startup
eCom Solutions,E-commerce,PME,Casablanca,https://www.ecom-solutions.ma,Editeur logiciel
BigData Corp,Big Data,ETI,Rabat,https://www.bigdata-corp.ma,Editeur logiciel
TechMaroc SARL,Services IT,PME,Fes,https://www.techmaroc.ma,ESN
HealthTech Solutions,Sante / HealthTech,Startup,Casablanca,https://www.healthtech-solutions.ma,Startup
AgriTech Maroc,Agriculture / AgriTech,Startup,Meknes,https://www.agritech-maroc.ma,Startup
Solucom Maroc,Conseil IT,ETI,Casablanca,https://www.solucom-maroc.ma,Cabinet conseil
Netsolve,Infrastructure / Reseaux,PME,Rabat,https://www.netsolve.ma,ESN
TravelTech,Tourisme / TravelTech,Startup,Marrakech,https://www.traveltech.ma,Startup
EduTech Maroc,Education / EdTech,Startup,Rabat,https://www.edutech-maroc.ma,Startup
AI Solutions Maroc,IA / Machine Learning,PME,Casablanca,https://www.ai-solutions-maroc.ma,Editeur logiciel
Maroc Telecom,Telecom,Grande entreprise,Rabat,https://www.iam.ma,Entreprise utilisatrice
Mexora,RH / Conseil,PME,Tanger,https://www.mexora.ma,Entreprise utilisatrice
